Eguna	Hilab	Urtea	Tokia	Tmax	Tmin	Tmean	Vmax	Euria
21	9	2019	Donostia	28.7	23.4	26.1	33.0	0.0
21	9	2019	Bilbo	28.0	19.4	23.7	25.0	0.0
21	9	2019	Gasteiz	24.9	14.9	19.9	26.0	0.0
21	9	2019	Iruña	27.8	16.5	22.1	38.0	1.6
21	9	2019	Reus	26.9	18.3	22.6	23.0	6.3
21	9	2019	Tarragona	26.3	19.3	22.8	0.0	1.6
21	9	2019	Vigo	17.6	15.3	16.5	37.0	14.8
1	1	2019	Donostia	7.6	5.3	6.5	13.0	0.0
1	1	2019	Bilbo	8.1	1.7	4.9	12.0	0.0
1	1	2019	Gasteiz	12.0	-4.6	3.7	23.0	0.0
1	1	2019	Iruña	12.9	2.9	7.9	34.0	0.0
1	1	2019	Alforja	13.2	7.1	10.1	28.0	0.0
1	1	2019	Reus	18.0	0.8	9.4	20.0	0.0
1	1	2019	Tarragona	17.3	5.3	11.3	0.0	0.0
1	1	2019	Vigo	15.3	3.9	9.6	14.0	0.0
3	9	2019	Donostia	24.6	13.2	18.9	14.0	0.0
3	9	2019	Bilbo	26.0	11.6	18.8	24.0	0.0
3	9	2019	Gasteiz	25.3	5.5	15.4	25.0	0.0
3	9	2019	Iruña	27.5	9.6	18.6	29.0	0.0
3	9	2019	Alforja	29.8	15.8	22.8	0.0	0.0
3	9	2019	Reus	29.8	15.8	22.8	22.0	0.0
3	9	2019	Tarragona	28.2	17.8	23.0	0.0	0.0
3	9	2019	Vigo	32.8	16.5	24.6	22.0	0.0
24	11	2019	Donostia	14.8	9.0	11.9	27.0	33.4
24	11	2019	Bilbo	14.6	9.5	12.1	19.0	6.0
24	11	2019	Gasteiz	11.5	4.2	7.8	27.0	3.9
24	11	2019	Iruña	10.9	5.2	8.0	17.0	7.0
24	11	2019	Reus	15.6	5.2	10.4	50.0	0.0
24	11	2019	Tarragona	18.5	8.1	13.3	0.0	0.0
24	11	2019	Vigo	15.1	7.6	11.4	32.0	11.5
11	7	2019	Donostia	25.3	15.8	20.5	15.0	0.0
11	7	2019	Bilbo	28.1	13.5	20.8	21.0	0.0
11	7	2019	Gasteiz	30.7	7.4	19.1	27.0	0.0
11	7	2019	Iruña	30.9	12.5	21.7	24.0	0.0
11	7	2019	Alforja	34.1	16.6	25.3	16.0	0.0
11	7	2019	Reus	31.9	20.9	26.4	24.0	0.0
11	7	2019	Tarragona	30.0	22.1	26.1	0.0	0.0
11	7	2019	Vigo	31.3	18.9	25.1	18.0	0.0
5	12	2019	Donostia	14.6	6.5	10.6	10.0	0.0
5	12	2019	Bilbo	13.6	6.3	10.0	13.0	0.0
5	12	2019	Gasteiz	11.9	1.2	6.5	21.0	0.0
5	12	2019	Iruña	13.1	2.8	8.0	29.0	0.0
5	12	2019	Reus	12.7	10.1	11.4	33.0	3.7
5	12	2019	Tarragona	13.1	11.2	12.2	0.0	5.0
5	12	2019	Vigo	15.1	4.8	10.0	16.0	0.0
28	5	2019	Donostia	17.8	13.0	15.4	24.0	2.7
28	5	2019	Bilbo	17.2	11.8	14.5	36.0	1.2
28	5	2019	Gasteiz	15.8	8.6	12.2	30.0	0.5
28	5	2019	Iruña	15.8	9.3	12.6	38.0	0.0
28	5	2019	Reus	26.5	14.8	20.7	36.0	0.0
28	5	2019	Tarragona	27.2	14.5	20.9	0.0	0.0
28	5	2019	Vigo	23.9	10.0	16.9	31.0	0.0
24	10	2019	Donostia	16.4	11.3	13.8	24.0	15.5
24	10	2019	Bilbo	16.3	10.9	13.6	23.0	18.4
24	10	2019	Gasteiz	15.3	7.6	11.5	24.0	9.1
24	10	2019	Iruña	13.7	8.4	11.0	13.0	7.9
24	10	2019	Reus	19.8	8.3	14.0	35.0	0.0
24	10	2019	Tarragona	22.3	12.2	17.2	0.0	1.8
24	10	2019	Vigo	14.1	9.7	11.9	19.0	25.3
2	12	2019	Donostia	10.1	5.5	7.8	18.0	1.1
2	12	2019	Bilbo	10.7	7.9	9.3	21.0	7.9
2	12	2019	Gasteiz	8.0	4.2	6.1	24.0	1.2
2	12	2019	Iruña	8.9	3.8	6.3	30.0	0.0
2	12	2019	Reus	16.5	5.4	11.0	17.0	0.0
2	12	2019	Tarragona	16.7	7.4	12.1	0.0	0.6
2	12	2019	Vigo	13.8	5.4	9.6	32.0	0.0
23	7	2019	Donostia	40.0	20.8	30.4	30.0	0.2
23	7	2019	Bilbo	38.6	20.4	29.5	27.0	0.4
23	7	2019	Gasteiz	38.7	15.7	27.2	59.0	0.5
23	7	2019	Iruña	39.3	20.7	30.0	36.0	0.4
23	7	2019	Alforja	33.7	20.9	27.3	0.0	0.0
23	7	2019	Reus	33.7	20.9	27.3	0.0	0.0
23	7	2019	Tarragona	32.9	22.0	27.5	0.0	0.0
23	7	2019	Vigo	24.7	17.0	20.9	24.0	0.0
10	3	2019	Donostia	16.8	9.9	13.3	20.0	2.8
10	3	2019	Bilbo	16.9	7.7	12.3	28.0	0.4
10	3	2019	Gasteiz	16.4	1.4	8.9	28.0	0.0
10	3	2019	Iruña	17.3	2.6	9.9	24.0	0.0
10	3	2019	Alforja	24.1	6.9	15.5	0.0	0.0
10	3	2019	Reus	24.1	6.9	15.5	24.0	0.0
10	3	2019	Tarragona	20.9	8.6	14.8	0.0	0.0
10	3	2019	Vigo	14.1	10.4	12.3	15.0	0.0
31	5	2019	Donostia	25.1	12.3	18.7	17.0	0.0
31	5	2019	Bilbo	30.1	12.3	21.2	21.0	0.0
31	5	2019	Gasteiz	29.0	6.0	17.5	17.0	0.0
31	5	2019	Iruña	29.2	8.7	19.0	17.0	0.0
31	5	2019	Reus	25.0	13.8	19.4	18.0	0.0
31	5	2019	Tarragona	23.2	14.0	18.6	0.0	0.0
31	5	2019	Vigo	33.1	19.1	26.1	28.0	0.0
18	8	2019	Donostia	25.3	17.6	21.4	19.0	9.4
18	8	2019	Bilbo	25.2	16.1	20.7	29.0	2.6
18	8	2019	Gasteiz	27.0	10.3	18.7	35.0	0.0
18	8	2019	Iruña	32.0	16.2	24.1	37.0	0.0
18	8	2019	Alforja	31.2	23.9	27.6	0.0	0.0
18	8	2019	Reus	31.2	23.9	27.6	17.0	0.0
18	8	2019	Tarragona	30.2	24.3	27.3	0.0	0.0
18	8	2019	Vigo	22.3	16.3	19.3	23.0	14.7
30	4	2019	Donostia	18.8	9.1	13.9	14.0	0.0
30	4	2019	Bilbo	21.0	7.1	14.0	18.0	0.0
30	4	2019	Gasteiz	20.4	2.4	11.4	23.0	0.0
30	4	2019	Iruña	21.0	4.5	12.8	31.0	0.0
30	4	2019	Reus	20.0	13.3	16.7	22.0	0.1
30	4	2019	Tarragona	19.3	14.6	16.9	0.0	0.0
30	4	2019	Vigo	19.9	8.6	14.3	24.0	0.0
24	1	2019	Donostia	10.8	6.5	8.7	26.0	1.1
24	1	2019	Bilbo	9.2	7.5	8.3	23.0	28.1
24	1	2019	Gasteiz	6.5	4.0	5.3	21.0	20.7
24	1	2019	Iruña	3.5	0.9	2.2	26.0	11.6
24	1	2019	Alforja	12.4	4.1	8.2	0.0	0.0
24	1	2019	Reus	12.4	4.1	8.2	54.0	0.0
24	1	2019	Tarragona	12.9	5.9	9.4	0.0	0.0
24	1	2019	Vigo	12.9	8.6	10.8	27.0	0.0
1	3	2019	Donostia	18.6	8.1	13.4	0.0	0.0
1	3	2019	Bilbo	16.9	4.4	10.6	14.0	0.0
1	3	2019	Gasteiz	16.6	-2.2	7.2	21.0	0.0
1	3	2019	Iruña	15.2	0.7	7.9	24.0	0.0
1	3	2019	Alforja	18.1	4.7	11.4	0.0	0.0
1	3	2019	Reus	18.1	4.7	11.4	19.0	0.0
1	3	2019	Tarragona	16.7	8.4	12.6	0.0	0.0
1	3	2019	Vigo	14.8	8.6	11.7	21.0	0.3
16	9	2019	Donostia	25.0	18.9	21.9	14.0	1.3
16	9	2019	Bilbo	28.1	18.1	23.1	21.0	1.8
16	9	2019	Gasteiz	28.5	14.7	21.6	25.0	2.1
16	9	2019	Iruña	31.1	15.8	23.5	21.0	0.1
16	9	2019	Reus	29.0	17.6	23.3	18.0	0.0
16	9	2019	Tarragona	27.7	19.5	23.6	0.0	0.0
16	9	2019	Vigo	27.7	17.3	22.5	19.0	0.1
12	12	2019	Donostia	15.2	9.2	12.2	32.0	46.8
12	12	2019	Bilbo	15.1	8.8	12.0	41.0	23.0
12	12	2019	Gasteiz	9.7	5.3	7.5	25.0	26.0
12	12	2019	Iruña	8.0	4.3	6.2	21.0	28.2
12	12	2019	Reus	13.8	8.3	11.1	44.0	0.0
12	12	2019	Tarragona	14.4	8.4	11.4	0.0	0.0
12	12	2019	Vigo	13.1	9.4	11.3	27.0	109.0
12	5	2019	Donostia	18.6	9.6	14.1	17.0	0.0
12	5	2019	Bilbo	19.4	7.9	13.6	25.0	0.0
12	5	2019	Gasteiz	18.7	2.3	10.5	26.0	0.0
12	5	2019	Iruña	28.5	10.6	19.6	0.0	0.0
12	5	2019	Reus	28.5	10.6	19.6	31.0	0.0
12	5	2019	Tarragona	26.2	8.8	17.5	0.0	0.0
12	5	2019	Vigo	29.3	11.3	20.3	21.0	0.0
1	8	2019	Donostia	25.1	17.1	21.1	27.0	22.0
1	8	2019	Bilbo	22.6	17.6	20.1	29.0	5.4
1	8	2019	Gasteiz	24.3	15.4	19.8	26.0	11.2
